Branch ID,Name,Section ID,System ID,From,To,True Area (Ft2),Length (Ft),PCI,Sample Number,Distress Description,Quantity,Quantity Units,Severity
ACCESSDRIV,ACCESS DRIVE TO SHOWPLACE WEST,3018,m4544,ACCESS DRIVE TO SHOWPLACE WEST & WYNNEDALE DR,ACCESS DRIVE TO SHOWPLACE WEST DEAD END,11025.0,393.7559619,54,3788,BLOCK CRACKING,2040.0,SqFt,L
ACCESSDRIV,ACCESS DRIVE TO SHOWPLACE WEST,3018,m4544,ACCESS DRIVE TO SHOWPLACE WEST & WYNNEDALE DR,ACCESS DRIVE TO SHOWPLACE WEST DEAD END,11025.0,393.7559619,54,3788,WEATHERING,2543.0,SqFt,M
ACCESSDRIV,ACCESS DRIVE TO SHOWPLACE WEST,3018,m4544,ACCESS DRIVE TO SHOWPLACE WEST & WYNNEDALE DR,ACCESS DRIVE TO SHOWPLACE WEST DEAD END,11025.0,393.7559619,54,3788,BLOCK CRACKING,500.0,SqFt,M
ACCESSDRIV,ACCESS DRIVE TO SHOWPLACE WEST,3018,m4544,ACCESS DRIVE TO SHOWPLACE WEST & WYNNEDALE DR,ACCESS DRIVE TO SHOWPLACE WEST DEAD END,11025.0,393.7559619,54,3788,POTHOLE,2.0,Count,L
ACCESSDRIV,ACCESS DRIVE TO SHOWPLACE WEST,3018,m4544,ACCESS DRIVE TO SHOWPLACE WEST & WYNNEDALE DR,ACCESS DRIVE TO SHOWPLACE WEST DEAD END,11025.0,393.7559619,54,3788,PATCH/UTILITY CUT,5.0,SqFt,L
E10THST,E 10TH ST,1620,s4617,10TH ST & JEFFERSON ST,10TH ST & ACCESS DRIVE TO TULIP TREE,16454.0,747.9178983,56,1961,WEATHERING,2156.0,SqFt,M
E10THST,E 10TH ST,1620,s4617,10TH ST & JEFFERSON ST,10TH ST & ACCESS DRIVE TO TULIP TREE,16454.0,747.9178983,56,1961,ALLIGATOR CRACKING,125.0,SqFt,H
E10THST,E 10TH ST,1620,s4617,10TH ST & JEFFERSON ST,10TH ST & ACCESS DRIVE TO TULIP TREE,16454.0,747.9178983,56,1961,LONGITUDINAL/TRANSVERSE CRACKING,90.0,Ft,L
E10THST,E 10TH ST,1620,s4617,10TH ST & JEFFERSON ST,10TH ST & ACCESS DRIVE TO TULIP TREE,16454.0,747.9178983,56,1962,LONGITUDINAL/TRANSVERSE CRACKING,100.0,Ft,L
E10THST,E 10TH ST,1620,s4617,10TH ST & JEFFERSON ST,10TH ST & ACCESS DRIVE TO TULIP TREE,16454.0,747.9178983,56,1962,WEATHERING,2156.0,SqFt,M
E10THST,E 10TH ST,1620,s4617,10TH ST & JEFFERSON ST,10TH ST & ACCESS DRIVE TO TULIP TREE,16454.0,747.9178983,56,1962,ALLIGATOR CRACKING,70.0,SqFt,L
E10THST,E 10TH ST,1620,s4617,10TH ST & JEFFERSON ST,10TH ST & ACCESS DRIVE TO TULIP TREE,16454.0,747.9178983,56,1962,EDGE CRACKING,180.0,Ft,L
E10THST,E 10TH ST,1621,s4616,10TH ST & UNION ST,10TH ST & JEFFERSON ST,20668.0,645.8762116,83,1963,WEATHERING,2548.0,SqFt,L
E10THST,E 10TH ST,1621,s4616,10TH ST & UNION ST,10TH ST & JEFFERSON ST,20668.0,645.8762116,83,1963,ALLIGATOR CRACKING,80.0,SqFt,L
E10THST,E 10TH ST,1621,s4616,10TH ST & UNION ST,10TH ST & JEFFERSON ST,20668.0,645.8762116,83,1963,LONGITUDINAL/TRANSVERSE CRACKING,120.0,Ft,L
E10THST,E 10TH ST,1621,s4616,10TH ST & UNION ST,10TH ST & JEFFERSON ST,20668.0,645.8762116,83,1964,WEATHERING,2548.0,SqFt,L
E10THST,E 10TH ST,1621,s4616,10TH ST & UNION ST,10TH ST & JEFFERSON ST,20668.0,645.8762116,83,1964,LONGITUDINAL/TRANSVERSE CRACKING,90.0,Ft,L
E10THST,E 10TH ST,1632,r4655,10TH ST & JORDAN AVE,10TH ST & CAMPBELL ST,15006.0,484.0771751,93,1975,WEATHERING,2548.0,SqFt,L
E10THST,E 10TH ST,1632,r4655,10TH ST & JORDAN AVE,10TH ST & CAMPBELL ST,15006.0,484.0771751,93,1975,LONGITUDINAL/TRANSVERSE CRACKING,70.0,Ft,L
E10THST,E 10TH ST,1632,r4655,10TH ST & JORDAN AVE,10TH ST & CAMPBELL ST,15006.0,484.0771751,93,1976,WEATHERING,2548.0,SqFt,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648.0,956.400407,60,1977,BLOCK CRACKING,1400.0,SqFt,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648.0,956.400407,60,1977,ALLIGATOR CRACKING,155.0,SqFt,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648.0,956.400407,60,1977,WEATHERING,2548.0,SqFt,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648.0,956.400407,60,1978,LONGITUDINAL/TRANSVERSE CRACKING,65.0,Ft,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648.0,956.400407,60,1978,PATCH/UTILITY CUT,100.0,SqFt,L
E10THST,E 10TH ST,1633,r4654,10TH ST & FEE LN,10TH ST & JORDAN AVE,29648.0,956.400407,60,1978,ALLIGATOR CRACKING,125.0,SqFt,L
